email_text,prediction,target
Urgent ! this is a scam,Phishing Email,Phishing Email
Urgent ! this is a scam,Phishing Email,Phishing Email
Urgent ! this is a scam,Phishing Email,Phishing Email
Urgent ! this is a scam,Phishing Email,Phishing Email
Urgent ! this is a scam,Phishing Email,Phishing Email
test,Phishing Email,Safe Email
azd adz çaz_d hsdcçàe zrféàeçzfj,Phishing Email,Safe Email
test,Phishing Email,Safe Email
test email,Phishing Email,Safe Email
test email content,Phishing Email,Safe Email
test email,Phishing Email,Safe Email
"Dear customer, click here to verify your account",Phishing Email,Phishing Email
"Dear customer, click here to verify your account",Phishing Email,Phishing Email
dazed dazd azd,Phishing Email,Phishing Email
je teste si c'ets un scam,Phishing Email,Phishing Email
"Cher client VINCI Autoroutes, Nous avons conçu ce programme pour offrir à nos clients une façon pratique et chaleureuse de les récompenser avec un Kit de Sécurité Hiver. Notre objectif est de souligner l'importance que nous accordons à nos clients et de créer un environnement où chaque client se sent apprécié. Nous sommes ravis de vous informer que vous avez été sélectionné comme l'un de nos précieux gagnants ! En signe de notre appréciation, nous sommes heureux de vous offrir un Kit de Sécurité Hiver. Merci pour votre confiance et votre engagement continus. RÉCLAMEZ VOTRE RÉCOMPENSE Mise à jour concernant votre livraison Une tentative de livraison n’a pas pu être finalisée. Merci de confirmer vos préférences afin de poursuivre l’acheminement. Colis en attente : 1 Numéro de suivi : AIPD 1512 KL10 Suivre Planifier la livraison Si le bouton ne fonctionne pas, copiez et collez ce lien dans votre navigateur : https://storage.googleapis.com/jhd25afla/issolreflyjhd.html#?Z289MSZzMT0yMjMyOTQ1JnMyPTYwMjQwNTAwMCZzMz1HTEI Important : Merci d’effectuer cette action avant le 27/01/2026. Assistance : Email : SUPPORT_EMAIL Téléphone : +33 1 48 62 50 73 Message automatique — merci de ne pas répondre. © 2026 FedEx® — Tous droits réservés Se désabonner",Phishing Email,Phishing Email
test zpeufe zifhsxdcf df,Phishing Email,Phishing Email
"Cher client VINCI Autoroutes, Nous avons conçu ce programme pour offrir à nos clients une façon pratique et chaleureuse de les récompenser avec un Kit de Sécurité Hiver. Notre objectif est de souligner l'importance que nous accordons à nos clients et de créer un environnement où chaque client se sent apprécié. Nous sommes ravis de vous informer que vous avez été sélectionné comme l'un de nos précieux gagnants ! En signe de notre appréciation, nous sommes heureux de vous offrir un Kit de Sécurité Hiver. Merci pour votre confiance et votre engagement continus. RÉCLAMEZ VOTRE RÉCOMPENSE",Phishing Email,Phishing Email
